# 0bcd096a-e002-4b5d-8f21-156bcb1b2f1b
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -1.3657262; -1.2905864; 3.1200464; -0.2548963; 4.4930328; -0.9937809
0.9790108; -1.5061805; -2.2604508; 2.8772352; -0.2445900; 4.2710068; 0.2487697
1.9580216; -1.8651388; -3.1714928; 2.6754750; -0.1346533; 4.3276547; 0.6422835
2.9370325; -2.3394394; -4.0303430; 2.6287724; 0.0505609; 4.4705928; -0.3792641
3.9160433; -2.7656040; -4.9085720; 2.7834872; 0.2452817; 4.3867520; -1.8665431
4.8950541; -2.9706066; -5.8612535; 3.1072393; 0.4531215; 3.9482732; -2.4876910
5.8740649; -2.7309039; -6.7928890; -2.5561480; 0.6887485; 3.2738217; -1.9370258
6.8530757; -1.9535328; -7.3491843; -1.7827917; 0.7942297; 2.6315718; 1.2595102
7.8320866; -0.9820967; -7.2940831; -1.3154602; 0.4621341; 3.0645258; -0.4125318
8.8110974; -0.1613847; -6.8288292; -0.8050648; 0.4526030; 2.9297734; -0.8885193
9.7901082; 0.3846786; -6.0258373; -0.3817293; 0.4791656; 2.6160719; -0.2980928
10.7691190; 0.5385839; -5.0693908; 0.0036445; 0.1598237; 2.5020312; 1.9546902
11.7481298; 0.5194824; -4.0732759; -0.0089594; -0.0772258; 3.1760803; 1.6840872
12.7271407; 0.5537210; -3.0913532; -0.0490626; -0.0076534; 3.6585469; 1.2726390
13.7061515; 0.6064109; -2.1161729; -0.0600738; -0.0149367; 3.9845727; 1.1351952
14.6851623; 0.6730233; -1.1336902; -0.0740627; -0.0088331; 4.2543574; 1.0294820
15.6641731; 0.7477962; -0.1553153; -0.0765918; 0.0021252; 4.4850089; 0.9636878
16.6431839; 0.8203502; 0.8160790; -0.0714447; 0.0087224; 4.6906531; 0.9434642
17.6221947; 0.8802976; 1.7984245; -0.0437006; 0.0496406; 4.8836000; -0.0978719
18.6012056; 0.8877181; 2.7800744; 0.0450559; 0.1462459; 4.8639402; -1.5604980
19.5802164; 0.7526677; 3.7509436; 0.2516582; 0.2736222; 4.5389894; -2.5387649
20.5592272; 0.3607640; 4.6476430; 0.5936013; 0.4037201; 3.9536652; -1.8252743
21.5382380; -0.3409783; 5.3094058; 1.0381402; 0.3846818; 3.4723972; -0.7352282
22.5172488; -1.2383076; 5.6535628; 1.4537025; 0.8114665; 3.2585195; -2.4175908
23.4962597; -2.1430974; 5.3625636; 2.3567333; 1.2123957; 2.4257482; 1.4042371
24.4752705; -2.4432663; 4.4574495; 3.0851083; 0.2333015; 2.9383296; 1.2783448
25.4542813; -2.4048279; 3.4808221; -3.0110323; 0.1685307; 3.3371856; 1.4023582
26.4332921; -2.2157234; 2.5262046; -2.8961667; 0.0776667; 3.7259436; 1.3891745
27.4123029; -1.9505760; 1.5810802; -2.8505952; 0.0146187; 4.0746398; 1.2541621
28.3913138; -1.6716722; 0.6395024; -2.8688335; -0.0592331; 4.3655888; 0.8329934
29.3703246; -1.4479783; -0.3174943; -2.9691815; -0.1461296; 4.5485586; -0.2564024
30.3493354; -1.3657262; -1.2905864; 3.1200464; -0.2548963; 4.4930328; -0.9937809
