# e9ca15de-a591-440b-9c38-6433ebe869bb
# d45f3436e4c638a80e08cc0b2416b8b001df3f6b
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -1.7457548; -1.2726544; 3.1305195; -0.2773404; 4.1920491; 0.0799228
0.9778541; -1.8489547; -2.2450097; 2.9826744; -0.0238251; 4.2106510; 0.0392772
1.9557082; -1.9962712; -3.2189427; 3.0044231; 0.0267549; 4.2197626; 0.0193173
2.9335623; -2.1228924; -4.1940724; 3.0058868; -0.0573900; 4.2242366; 0.0095043
3.9114164; -2.2861708; -5.1649054; 3.0011973; 0.2883706; 4.2264362; -3.3514047
4.8892705; -2.1702503; -6.1100735; -2.7431797; 0.4529079; 3.3627954; -1.6288941
5.8671246; -1.5318507; -6.8001651; -1.7904290; 1.4773319; 2.8500442; -1.6288941
6.8449787; -0.6787241; -6.4821874; -0.8617804; 0.5989179; 2.2219609; 3.4989573
7.8228327; -0.1941073; -5.6572842; -0.2784839; 0.2907340; 3.4322077; 1.5648075
8.8006868; -0.0144987; -4.6883326; -0.1164909; 0.0985342; 3.8523183; 0.7830653
9.7785409; 0.0643987; -3.7078842; -0.0567933; 0.0220405; 4.0462086; 0.3937800
10.7563950; 0.1196471; -2.7216113; -0.0622937; -0.0169044; 4.1402805; 0.1923084
11.7342491; 0.1874766; -1.7424075; -0.0746905; -0.0087064; 4.1854536; 0.0943009
12.7121032; 0.2578073; -0.7636617; -0.0612250; 0.0373483; 4.2074276; 0.0463303
13.6899573; 0.2963898; 0.2202901; -0.0211981; 0.0196603; 4.2181815; 0.0227832
14.6678114; 0.3169425; 1.1982629; -0.0274144; -0.0161212; 4.2234598; 0.0112088
15.6456655; 0.3496817; 2.1675017; -0.0386555; -0.0081663; 4.2260541; 0.0055156
16.6235196; 0.3909931; 3.1456577; -0.0430074; 0.0433073; 4.2273302; -1.1772283
17.6013737; 0.3230512; 4.1144215; 0.3031492; 0.7708116; 3.9456312; -3.1219263
18.5792278; -0.2740332; 4.8795631; 1.0042447; 0.6803325; 3.0761061; 2.1720117
19.5570819; -1.2028791; 5.0166845; 1.8878949; -0.0209840; 3.7027355; -0.9616894
20.5349360; -1.9966812; 4.5676057; 2.5304514; 1.0144160; 3.4393991; -2.3722191
21.5127901; -2.1438425; 3.6188519; -3.0494024; 0.0924038; 2.6814357; 2.8174176
22.4906441; -2.0637886; 2.6374803; -3.0716095; 0.0044077; 3.5637262; 1.3276891
23.4684982; -1.9872244; 1.6583658; -3.0581784; -0.0016729; 3.9111017; 0.6680359
24.4463523; -1.9101034; 0.6746256; -3.0665667; 0.0124582; 4.0747025; 0.3331300
25.4242064; -1.8194503; -0.3005281; -3.0261074; 0.0107323; 4.1538783; 0.1628927
26.4020605; -1.7457548; -1.2726544; 3.1305195; -0.2773404; 4.1920491; 0.0799228
