# x_m,y_m,w_tr_right_m,w_tr_left_m
-1.2300,-1.2000,0.5400,0.5400
-1.2300,-1.2100,0.5400,0.5400
-1.2300,-1.2200,0.5400,0.5400
-1.2300,-1.2300,0.5400,0.5400
-1.2300,-1.2400,0.5400,0.5400
-1.2300,-1.2500,0.5400,0.5400
-1.2200,-1.2600,0.5300,0.5300
-1.2200,-1.2700,0.5300,0.5300
-1.2200,-1.2800,0.5300,0.5300
-1.2200,-1.2900,0.5300,0.5300
-1.2200,-1.3000,0.5300,0.5300
-1.2200,-1.3100,0.5300,0.5300
-1.2200,-1.3200,0.5300,0.5300
-1.2200,-1.3300,0.5300,0.5300
-1.2200,-1.3400,0.5300,0.5300
-1.2200,-1.3500,0.5300,0.5300
-1.2200,-1.3600,0.5300,0.5300
-1.2200,-1.3700,0.5300,0.5300
-1.2200,-1.3800,0.5300,0.5300
-1.2200,-1.3900,0.5300,0.5300
-1.2200,-1.4000,0.5300,0.5300
-1.2200,-1.4100,0.5300,0.5300
-1.2200,-1.4200,0.5300,0.5300
-1.2200,-1.4300,0.5300,0.5300
-1.2200,-1.4400,0.5300,0.5300
-1.2200,-1.4500,0.5300,0.5300
-1.2200,-1.4600,0.5300,0.5300
-1.2200,-1.4700,0.5300,0.5300
-1.2200,-1.4800,0.5300,0.5300
-1.2200,-1.4900,0.5300,0.5300
-1.2200,-1.5000,0.5300,0.5300
-1.2200,-1.5100,0.5300,0.5300
-1.2200,-1.5200,0.5300,0.5300
-1.2200,-1.5300,0.5300,0.5300
-1.2200,-1.5400,0.5300,0.5300
-1.2200,-1.5500,0.5300,0.5300
-1.2200,-1.5600,0.5300,0.5300
-1.2200,-1.5700,0.5295,0.5295
-1.2200,-1.5800,0.5277,0.5277
-1.2200,-1.5900,0.5261,0.5261
-1.2200,-1.6000,0.5247,0.5247
-1.2200,-1.6100,0.5235,0.5235
-1.2200,-1.6200,0.5224,0.5224
-1.2200,-1.6300,0.5215,0.5215
-1.2200,-1.6400,0.5209,0.5209
-1.2200,-1.6500,0.5204,0.5204
-1.2200,-1.6600,0.5201,0.5201
-1.2200,-1.6700,0.5200,0.5200
-1.2200,-1.6800,0.5200,0.5200
-1.2200,-1.6900,0.5200,0.5200
-1.2200,-1.7000,0.5200,0.5200
-1.2200,-1.7100,0.5200,0.5200
-1.2200,-1.7200,0.5200,0.5200
-1.2200,-1.7300,0.5201,0.5201
-1.2200,-1.7400,0.5204,0.5204
-1.2200,-1.7500,0.5209,0.5209
-1.2300,-1.7600,0.5116,0.5116
-1.2300,-1.7700,0.5124,0.5124
-1.2300,-1.7800,0.5135,0.5135
-1.2300,-1.7900,0.5148,0.5148
-1.2300,-1.8000,0.5162,0.5162
-1.2400,-1.8100,0.5080,0.5080
-1.2400,-1.8200,0.5099,0.5099
-1.2400,-1.8300,0.5120,0.5120
-1.2400,-1.8400,0.5142,0.5142
-1.2400,-1.8500,0.5166,0.5166
-1.2400,-1.8600,0.5192,0.5192
-1.2500,-1.8700,0.5124,0.5124
-1.2500,-1.8800,0.5155,0.5155
-1.2500,-1.8900,0.5187,0.5187
-1.2500,-1.9000,0.5200,0.5200
-1.2500,-1.9100,0.5201,0.5201
-1.2600,-1.9200,0.5104,0.5104
-1.2600,-1.9300,0.5109,0.5109
-1.2600,-1.9400,0.5116,0.5116
-1.2600,-1.9500,0.5124,0.5124
-1.2600,-1.9600,0.5135,0.5135
-1.2600,-1.9700,0.5148,0.5148
-1.2700,-1.9800,0.5064,0.5064
-1.2700,-1.9900,0.5080,0.5080
-1.2700,-2.0000,0.5099,0.5099
-1.2700,-2.0100,0.5116,0.5116
-1.2700,-2.0200,0.5124,0.5124
-1.2800,-2.0300,0.5036,0.5036
-1.2800,-2.0400,0.5049,0.5049
-1.2800,-2.0500,0.5064,0.5064
-1.2900,-2.0600,0.4982,0.4982
-1.2900,-2.0700,0.5001,0.5001
-1.3000,-2.0800,0.4924,0.4924
-1.3000,-2.0900,0.4948,0.4948
-1.3000,-2.1000,0.4973,0.4973
-1.3100,-2.1100,0.4904,0.4904
-1.3100,-2.1200,0.4934,0.4934
-1.3100,-2.1300,0.4965,0.4965
-1.3100,-2.1400,0.4998,0.4998
-1.3100,-2.1500,0.5033,0.5033
-1.3100,-2.1600,0.5070,0.5070
-1.3200,-2.1700,0.5016,0.5016
-1.3200,-2.1800,0.5057,0.5057
-1.3200,-2.1900,0.5099,0.5099
-1.3300,-2.2000,0.5054,0.5054
-1.3300,-2.2100,0.5100,0.5100
-1.3300,-2.2200,0.5148,0.5148
-1.3300,-2.2300,0.5197,0.5197
-1.3300,-2.2400,0.5200,0.5200
-1.3400,-2.2500,0.5200,0.5200
-1.3400,-2.2600,0.5220,0.5220
-1.3400,-2.2700,0.5187,0.5187
-1.3400,-2.2800,0.5148,0.5148
-1.3500,-2.2900,0.5200,0.5200
-1.3500,-2.3000,0.5162,0.5162
-1.3600,-2.3100,0.5220,0.5220
-1.3600,-2.3200,0.5187,0.5187
-1.3600,-2.3300,0.5155,0.5155
-1.3700,-2.3400,0.5220,0.5220
-1.3800,-2.3500,0.5280,0.5280
-1.3800,-2.3600,0.5239,0.5239
-1.3800,-2.3700,0.5200,0.5200
-1.3900,-2.3800,0.5255,0.5255
-1.3900,-2.3900,0.5220,0.5220
-1.3900,-2.4000,0.5187,0.5187
-1.4000,-2.4100,0.5250,0.5250
-1.4000,-2.4200,0.5220,0.5220
-1.4000,-2.4300,0.5187,0.5187
-1.4100,-2.4400,0.5250,0.5250
-1.4100,-2.4500,0.5220,0.5220
-1.4200,-2.4600,0.5281,0.5281
-1.4200,-2.4700,0.5250,0.5250
-1.4300,-2.4800,0.5314,0.5314
-1.4300,-2.4900,0.5281,0.5281
-1.4400,-2.5000,0.5345,0.5345
-1.4400,-2.5100,0.5314,0.5314
-1.4500,-2.5200,0.5376,0.5376
-1.4600,-2.5300,0.5441,0.5441
-1.4600,-2.5400,0.5412,0.5412
-1.4600,-2.5500,0.5385,0.5385
-1.4600,-2.5600,0.5360,0.5360
-1.4600,-2.5700,0.5337,0.5337
-1.4700,-2.5800,0.5412,0.5412
-1.4800,-2.5900,0.5482,0.5482
-1.4800,-2.6000,0.5457,0.5457
-1.4800,-2.6100,0.5434,0.5434
-1.4800,-2.6200,0.5413,0.5413
-1.4800,-2.6300,0.5394,0.5394
-1.4900,-2.6400,0.5474,0.5474
-1.4900,-2.6500,0.5457,0.5457
-1.4900,-2.6600,0.5434,0.5434
-1.4900,-2.6700,0.5413,0.5413
-1.5000,-2.6800,0.5492,0.5492
-1.5000,-2.6900,0.5474,0.5474
-1.5000,-2.7000,0.5457,0.5457
-1.5000,-2.7100,0.5434,0.5434
-1.5100,-2.7200,0.5511,0.5511
-1.5100,-2.7300,0.5492,0.5492
-1.5100,-2.7400,0.5474,0.5474
-1.5100,-2.7500,0.5459,0.5459
-1.5200,-2.7600,0.5544,0.5544
-1.5200,-2.7700,0.5533,0.5533
-1.5200,-2.7800,0.5523,0.5523
-1.5200,-2.7900,0.5511,0.5511
-1.5300,-2.8000,0.5590,0.5590
-1.5300,-2.8100,0.5573,0.5573
-1.5300,-2.8200,0.5558,0.5558
-1.5400,-2.8300,0.5644,0.5644
-1.5400,-2.8400,0.5632,0.5632
-1.5400,-2.8500,0.5622,0.5622
-1.5400,-2.8600,0.5614,0.5614
-1.5400,-2.8700,0.5608,0.5608
-1.5500,-2.8800,0.5704,0.5704
-1.5600,-2.8900,0.5801,0.5801
-1.5600,-2.9000,0.5800,0.5800
-1.5600,-2.9100,0.5800,0.5800
-1.5600,-2.9200,0.5800,0.5800
-1.5700,-2.9300,0.5900,0.5900
-1.5700,-2.9400,0.5900,0.5900
-1.5800,-2.9500,0.6000,0.6000
-1.5800,-2.9600,0.6000,0.6000
-1.5900,-2.9700,0.6100,0.6100
-1.5900,-2.9800,0.6100,0.6100
-1.6000,-2.9900,0.6200,0.6200
-1.6100,-3.0000,0.6300,0.6300
-1.6100,-3.0100,0.6300,0.6300
-1.6200,-3.0200,0.6400,0.6400
-1.6200,-3.0300,0.6400,0.6400
-1.6300,-3.0400,0.6500,0.6500
-1.6400,-3.0500,0.6600,0.6600
-1.6500,-3.0600,0.6700,0.6700
-1.6500,-3.0700,0.6700,0.6700
-1.6600,-3.0800,0.6800,0.6800
-1.6700,-3.0900,0.6900,0.6900
-1.6700,-3.1000,0.6900,0.6900
-1.6800,-3.1100,0.7000,0.7000
-1.6800,-3.1200,0.7000,0.7000
-1.6900,-3.1300,0.7100,0.7100
